energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,4.07499801,0.05497014,0.51762806,1.21544478,0.88440264,0.04755663,1.22245370
-5.99399700,4.00202069,0.05602285,0.49595548,1.17130612,0.87699847,0.04678539,1.21561401
-5.98799400,3.95812850,0.05738746,0.47724712,1.13286960,0.87588615,0.04651806,1.21839401
-5.98199100,3.94440913,0.05908270,0.46171050,1.10082992,0.88126804,0.04675333,1.23104154
-5.97598799,3.96142165,0.06112641,0.44949989,1.07576630,0.89325195,0.04748116,1.25362257
-5.96998499,4.00923454,0.06353590,0.44072146,1.05814961,0.91185972,0.04868365,1.28603188
-5.96398199,4.08747105,0.06632817,0.43543865,1.04835224,0.93703613,0.05033602,1.32800730
-5.95797899,4.19535896,0.06951985,0.43367734,1.04665936,0.96865758,0.05240768,1.37914668
-5.95197599,4.33178199,0.07312696,0.43543049,1.05328073,1.00653985,0.05486327,1.43892684
-5.94597299,4.49533008,0.07716434,0.44066184,1.06836187,1.05044463,0.05766379,1.50672357
-5.93996998,4.68434646,0.08164480,0.44930851,1.09199358,1.10008431,0.06076759,1.58183191
-5.93396698,4.89696949,0.08657805,0.46128242,1.12421917,1.15512514,0.06413135,1.66348582
-5.92796398,5.13116809,0.09196935,0.47647055,1.16503849,1.21518842,0.06771093,1.75087648
-5.92196098,5.38476971,0.09781804,0.49473411,1.21440868,1.27985021,0.07146217,1.84316851
-5.91595798,5.65548062,0.10411589,0.51590696,1.27224118,1.34863956,0.07534148,1.93951350
-5.90995498,5.94089853,0.11084558,0.53979339,1.33839520,1.42103588,0.07930634,2.03906044
-5.90395198,6.23851830,0.11797916,0.56616572,1.41266797,1.49646573,0.08331566,2.14096281
-5.89794897,6.54573186,0.12547673,0.59476207,1.49478234,1.57429979,0.08732998,2.24438220
-5.89194597,6.85982366,0.13328553,0.62528456,1.58437243,1.65385045,0.09131153,2.34848864
-5.88594297,7.17796378,0.14133927,0.65739830,1.68096831,1.73437067,0.09522424,2.45245807
-5.87993997,7.49720058,0.14955805,0.69073150,1.78398086,1.81505454,0.09903360,2.55546754
-5.87393697,7.81445530,0.15784884,0.72487690,1.89268789,1.89504027,0.10270644,2.65668884
-5.86793397,8.12652086,0.16610645,0.75939452,2.00622278,1.97341561,0.10621079,2.75528168
-5.86193097,8.43006711,0.17421522,0.79381611,2.12356690,2.04922639,0.10951567,2.85038729
-5.85592796,8.72165448,0.18205120,0.82765088,2.24354673,2.12148788,0.11259091,2.94112376
-5.84992496,8.99775775,0.18948489,0.86039283,2.36483686,2.18919929,0.11540713,3.02658389
-5.84392196,9.25480099,0.19638446,0.89152917,2.48596947,2.25136097,0.11793578,3.10583676
-5.83791896,9.48920431,0.20261922,0.92054982,2.60535070,2.30699404,0.12014933,3.17793357
-5.83191596,9.69744204,0.20806344,0.94695767,2.72128425,2.35516193,0.12202159,3.24191835
-5.82591296,9.87611171,0.21260004,0.97027922,2.83200180,2.39499315,0.12352824,3.29684362
-5.81990995,10.02201181,0.21612441,0.99007532,2.93569973,2.42570454,0.12464743,3.34179082
-5.81390695,10.13222605,0.21854774,1.00595162,3.03058131,2.44662410,0.12536051,3.37589501
-5.80790395,10.20421093,0.21980010,1.01756842,3.11490278,2.45721250,0.12565296,3.39837277
-5.80190095,10.23588300,0.21983295,1.02464957,3.18702194,2.45708241,0.12551518,3.40855227
-5.79589795,10.22570170,0.21862087,1.02699000,3.24544730,2.44601470,0.12494344,3.40590378
-5.78989495,10.17274370,0.21616272,1.02446182,3.28888571,2.42397070,0.12394069,3.39006916
-5.78389195,10.07676456,0.21248186,1.01701849,3.31628646,2.39109989,0.12251728,3.36088847
-5.77788894,9.93824401,0.20762559,1.00469708,3.32687979,2.34774253,0.12069150,3.31842206
-5.77188594,9.75841148,0.20166386,0.98761843,3.32020787,2.29442682,0.11848991,3.26296657
-5.76588294,9.53924962,0.19468716,0.96598512,3.29614670,2.23186050,0.11594741,3.19506358
-5.75987994,9.28347410,0.18680383,0.94007734,3.25491769,2.16091711,0.11310701,3.11549986
-5.75387694,8.99448939,0.17813681,0.91024676,3.19708799,2.08261707,0.11001933,3.02529879
-5.74787394,8.67632108,0.16882003,0.87690843,3.12355945,1.99810437,0.10674172,2.92570282
-5.74187094,8.33352665,0.15899458,0.84053120,3.03554627,1.90861944,0.10333721,2.81814726
